;text;result;predict_cl
93;нет контактов;отказ нет потребности;нет контактов
94;опф тивк не кредитуем;отказ нет потребности;не нужен\не может\не хочет
95;отказывается пока что кредитоваться;отказ нет потребности;пока
96;отсутствие залога;отказ не устр параметры;не нужен\не может\не хочет
97;кредитование клиент не прассматривает;отказ нет потребности;отказ
98;отказ не рассматривают лизинг;отказ нет потребности;отказ
99;оформлен кредит;отказ продукт уже есть;есть кредит
100;деятельность свернута компания ликвидирована;отказ нет потребности;ликвидация
101;кредитуется ооо упех;отказ нет потребности;др банк
102;кредит оформлен млн;отказ нет потребности;есть кредит
103;оплачивает вовремя;отказ нет потребности;мусор
104;высокая комиссия;отказ не устр параметры;дорогие тарифы
105;категорический отказ;отказ нет потребности;отказ категорический
106;находится в стадии ликвидации;отказ категорический отказ;ликвидация
107;гк росзнак;отказ не лоялен к банку;мусор
108;нет потребности работают безндс;отказ нет потребности;не нужен\не может\не хочет
109;отказ от рестр;отказ нет потребности;отказ от реструктуризации
110;получен категорический отказ;отказ нет потребности;отказ категорический
111;клиент заинтересован зпп;отказ нет потребности;не нужен\не может\не хочет
112;кредитование не возможно;отказ сотруднич с др банком;отказ
113;отказ не интересует;отказ не устр параметры;отказ
114;нет потребности кредитных средствах;отказ нет потребности;не нужен\не может\не хочет
115;деятельность прекращена;отказ нет потребности;не ведет деятельность
116;отказ пока хватает средств;отказ нет потребности;отказ
117;организация ликвидирована вследствие банкротства;отказ нет потребности;ликвидация
118;справляемся своими силами;отказ нет потребности;не нужен\не может\не хочет
119;клиент справляется свомими силами;отказ нет потребности;не нужен\не может\не хочет
120;кредит погашен;отказ треб продукт отсут ет;погашен
121;сказала что не нуждается;отказ нет потребности;не нужен\не может\не хочет
122;отсутствует задолженностьпо кредиту;отказ нет потребности;не нужен\не может\не хочет
123;высокая процентная ставка;отказ нет потребности;дорогие тарифы
124;кредитование не интересует;отказ треб продукт отсут ет;не нужен\не может\не хочет
125;согласован повторный звонок;отказ нет потребности;звонок
126;обказ нет потребности;отказ нет потребности;не нужен\не может\не хочет
127;направлено кп контрольный звонок;отказ нет потребности;выполнено
128;категорический отказ от кредитвоания;отказ нет потребности;отказ категорический
129;отказ клиента;фз – отказ клиента;отказ
130;отказ работают без ндс;отказ нет потребности;отказ
131;р с закрыт архив;отказ нет потребности;не ведет деятельность
132;отсутствует потребность в реструктуризации;отказ нет потребности;отказ от реструктуризации
133;реструктуризация проведена в марте;отказ продукт уже есть;отказ от реструктуризации
134;проконсультирована пока потребности нет;отказ нет потребности;не нужен\не может\не хочет
135;компания не кредитуется;отказ нет потребности;отказ
136;подумает возможно в мае;отказ нет потребности;думает
137;нет потребности будут закрываться;отказ нет потребности;не нужен\не может\не хочет
138;пока не нужд ся;отказ нет потребности;не нужен\не может\не хочет
139;новая организация нет потребности;отказ нет потребности;новая компания
140;спасибо не надо;отказ нет потребности;не нужен\не может\не хочет
141;еще опл действующий кредит;отказ нет потребности;есть кредит
142;не подходят по срокам;отказ нет потребности;условия
143;потреьности нет;отказ не устр параметры;не нужен\не может\не хочет
144;кредитуется в инвестиц отделе;отказ продукт уже есть;отказ
145;не нужно планирует закрывать;отказ нет потребности;планируют закрывать счет
146;приостановлена деят ть;отказ нет потребности;не ведет деятельность
147;заемщику в исполняется лет;отказ нет потребности;возраст
148;нет потребностей;отказ не устр параметры;не нужен\не может\не хочет
149;ип готовится к закрытию;отказ нет потребности;не ведет деятельность
150;организация почти не работает;отказ нет потребности;не ведет деятельность
151;вопрос перенесен на февраль;отказ нет потребности;не нужен\не может\не хочет
152;тс не планируют покупать;отказ нет потребности;не нужен\не может\не хочет
153;справляются собственными средствами;отказ нет потребности;не нужен\не может\не хочет
154;нет потребности в кредите;отказ нет потребности;не нужен\не может\не хочет
155;кд погашен;фз – отказ клиента;погашен
156;просрочник реструктуризация;отказ нет потребности;реструктуризация
157;не захотели разговаривать;отказ нет потребности;не разговаривают
158;в кредитовании потребности нет;отказ категорический отказ;не нужен\не может\не хочет
159;нет потребности клиента отказ;отказ нет потребности;не нужен\не может\не хочет
160;сделано;отказ нет потребности;отказ
161;уже проведена;отказ нет потребности;выполнено
162;клиенту проведена реструктуризация;отказ нет потребности;отказ от реструктуризации
163;фин положение устойчивое;отказ нет потребности;не нужен\не может\не хочет
164;у клиента есть договор;отказ не устр параметры;др продукт сб
165;у клиента картотека на;отказ нет потребности;др продукт сб
166;крелдитование не треюуется;отказ нет потребности;не нужен\не может\не хочет
167;своих ср в достаточно;отказ нет потребности;не нужен\не может\не хочет
168;вообще не планируют кредитоваться;отказ нет потребности;отказ
169;отказ не актуально;отказ нет потребности;отказ
170;нет потребности достаточно дс;отказ нет потребности;не нужен\не может\не хочет
171;всего достаточно;отказ нет потребности;не нужен\не может\не хочет
172;контактные номера не актуальны;отказ нет потребности;нет контактов
173;проинформирован нет потребности;отказ нет потребности;не нужен\не может\не хочет
174;кредитуются в стороннем банке;отказ сотруднич с др банком;др банк
175;клиент на просрочке;отказ не устр параметры;просрочка
176;у клиента реструктур;отказ нет потребности;реструктуризация
177;не устраивают условия дорого;отказ не устр параметры;дорогие тарифы
178;закрывают магазин и ооо;отказ нет потребности;не ведет деятельность
179;новая организация не требуется;отказ нет потребности;новая компания
180;счет клиента закрыт;отказ нет потребности;счет закрыт
181;заявка на бг;отказ нет потребности;отказ
182;закрыта;отказ нет потребности;не ведет деятельность
183;отказ от банковских продуктов;отказ нет потребности;отказ
184;доп продукты не интересуют;отказ нет потребности;не нужен\не может\не хочет
185;отказ обходятся собственными средствами;отказ нет потребности;не нужен\не может\не хочет
186;нужно;отказ не устр параметры;не нужен\не может\не хочет
187;отзыв лицензии отказ;отказ категорический отказ;отказ
188;деятельность приоставновлена;отказ нет потребности;не ведет деятельность
189;ликвидировано егрюл данные спарк;отказ нет потребности;ликвидация
190;клиент перевел деятельность;отказ нет потребности;не ведет деятельность
191;гк бостон;отказ нет потребности;мус
192;кредит будет брать весной;отказ нет потребности;др продукт сб
193;кредит лизинг нет;отказ нет потребности;отказ
194;отказался от консультации;отказ нет потребности;отказ
195;всегда обходятся своими средствами;отказ нет потребности;не нужен\не может\не хочет
196;обходятся своими;отказ нет потребности;не нужен\не может\не хочет
197;действующий кредит нет потребности;отказ нет потребности;не нужен\не может\не хочет
198;не заинт только факторинг;отказ нет потребности;не нужен\не может\не хочет
199;нет необходимости отказ;отказ нет потребности;отказ
200;заинтересован в кредитовании;отказ нет потребности;не нужен\не может\не хочет
201;отказ не требуется;отказ нет потребности;отказ
202;клиент отказал;отказ нет потребности;отказ
203;отказ своих средств хватает;отказ нет потребности;не нужен\не может\не хочет
204;очень высокий заинтересованности нет;отказ не устр параметры;не нужен\не может\не хочет
205;закрыл счет;отказ нет потребности;счет закрыт
206;рассмотривается возможность выдачи кредита;отказ нет потребности;отказ
207;фирма пока не функционирует;отказ нет потребности;не ведет деятельность
208;деятельность менее месяцев;отказ нет потребности;не ведет деятельность
209;ца кредкц;отказ сотруднич с др банком;есть кредит
210;отказ клиент стабильно торгует;отказ нет потребности;отказ
211;категорический отказ нет потребности;отказ категорический отказ;отказ категорический
212;не планируется обновление автопарка;отказ нет потребности;не нужен\не может\не хочет
213;не устр;отказ нет потребности;условия
214;не кредитуем;отказ нет потребности;не нужен\не может\не хочет
215;фирма деятельности не осуществляет;отказ нет потребности;не ведет деятельность
216;закрывает счет;отказ не устр параметры;счет закрыт
217;неактуально не требуется;отказ нет потребности;не нужен\не может\не хочет
218;нет потребностив заемных средствах;отказ нет потребности;не нужен\не может\не хочет
219;спользует заемные средства;отказ нет потребности;не нужен\не может\не хочет
220;высокие ставки;отказ не устр цена продукта;дорогие тарифы
221;не клиент;отказ нет потребности;не нужен\не может\не хочет
222;заканчивается кредит;отказ нет потребности;др продукт сб
223;данная компания закрывается;отказ нет потребности;не ведет деятельность
224;продукты сбербанка не интересны;отказ нет потребности;не нужен\не может\не хочет
225;некорректная задача;отказ не устр параметры;дубль
226;директор сказал нет потребности;отказ нет потребности;не нужен\не может\не хочет
227;не кредитуются;отказ категорический отказ;отказ
228;не инт кредит;отказ нет потребности;не нужен\не может\не хочет
229;гск не пользуются кредитованием;отказ нет потребности;отказ
230;не требуется кредит;отказ не устр параметры;не нужен\не может\не хочет
231;кредит погашен;отказ не устр параметры;погашен
232;кредитование компанию не интересует;отказ нет потребности;не нужен\не может\не хочет
233;финансовые трудности;отказ нет потребности;не соответсвует требованиям
234;необходима бг;отказ нет потребности;отказ
235;нет сейас потребности;отказ нет потребности;не нужен\не может\не хочет
236;брать кредиты не планируют;отказ нет потребности;не нужен\не может\не хочет
237;отказались от встречи;отказ нет потребности;отказ
238;кредитными продуктами не пользуются;отказ нет потребности;отказ
239;ранее был отказ;отказ нет потребности;не соответсвует требованиям
240;отрицательный баланс;отказ нет потребности;отказ
241;нет неодходимости в кредитовании;отказ нет потребности;не нужен\не может\не хочет
242;не отвечает;отказ нет потребности;не ответили
243;есть кредит действующий;отказ продукт уже есть;есть кредит
244;отказ продукт уже естьпотребности;отказ продукт уже есть;отказ
245;кредидуется сейчас не нужно;отказ нет потребности;не нужен\не может\не хочет
246;клиент не хочет реструктуризацию;отказ нет потребности;отказ от реструктуризации
247;тел принадлежит другой организации;отказ нет потребности;нет контактов
248;отказ реорганизация;отказ нет потребности;реорганизация
249;органищзация не кредитуется;отказ нет потребности;отказ
250;нет потребности;отказ нет потребности;не нужен\не может\не хочет
251;представительство московской компании;отказ нет потребности;голов. комп
252;нет потребностьи в услугах;отказ нет потребности;не нужен\не может\не хочет
253;выручка упала нет потребности;отказ нет потребности;не нужен\не может\не хочет
254;достаточно собственных средчтв;отказ нет потребности;не нужен\не может\не хочет
255;недозвон назначен повторный звонок;отказ нет потребности;звонок
256;приостановил деятельность счёт закрыл;отказ нет потребности;не ведет деятельность
257;кредиты сбербанк не даёт;отказ не лоялен к банку;не соответсвует требованиям
258;назначена встреча на;отказ не лоялен к банку;надежда есть
259;есть действ кредиты;отказ нет потребности;есть кредит
260;клиент кредитованием не заинтересован;отказ категорический отказ;отказ
261;в группе скб;отказ сотруднич с др банком;др банк
262;реструктуризация клиенту проведена ка;отказ продукт уже есть;отказ от реструктуризации
263;кредитуются в россельхозе;отказ сотруднич с др банком;др банк
264;отказ нет потребности;отказ продукт уже есть;не нужен\не может\не хочет
265;неинтересует кредитование;отказ нет потребности;не нужен\не может\не хочет
266;исполнено отказ;отказ нет потребности;отказ
267;компания в статусе реорганизации;отказ нет потребности;реорганизация
268;отказ справляются своими средствами;отказ нет потребности;не нужен\не может\не хочет
269;двойная задача;отказ сотруднич с др банком;дубль
270;организация расформировалась;отказ нет потребности;не ведет деятельность
271;низкие обороты не выгодно;отказ нет потребности;дорогие тарифы
272;счет закрыт;отказ нет потребности;счет закрыт
273;большой список документов;отказ не устр параметры;много документов
274;политика учредителя;отказ не лоялен к банку;дорогие тарифы
275;с втб;отказ сотруднич с др банком;др банк
276;обслуживаются в другом офисе;отказ нет потребности;др банк
277;клиент сегмента средний;отказ не устр параметры;сегмент
278;клиент самарского госб;отказ нет потребности;отказ
279;лия григорьевна;отказ нет потребности;мусор
280;получен отказ потребности нет;отказ нет потребности;отказ
281;отказ клиента проблем невыявлено;отказ нет потребности;отказ
282;отказ фин состояние стабильное;отказ нет потребности;не нужен\не может\не хочет
283;проведена уже;отказ нет потребности;выполнено
284;клиент на сдатии ликвидации;отказ нет потребности;ликвидация
285;отказ нет залога;отказ нет потребности;отказ
286;иное условия лучше;отказ нет потребности;условия
287;вид деятельньности тсж;отказ не устр параметры;др банк
288;организация не берет кредиты;отказ нет потребности;не нужен\не может\не хочет
289;данные по клиенту устарели;отказ нет потребности;нет контактов
290;строительная корпорация монолит;отказ нет потребности;мусор
291;нет потребности работают безндс;отказ нет потребности;не нужен\не может\не хочет
292;не устраивает ценовая политика;отказ не устр цена продукта;дорогие тарифы
293;рестурктуризация не требуется;отказ нет потребности;отказ от реструктуризации
294;не устраивает сумма кредита;отказ не устр параметры;отказ
295;от продуктов отказался;отказ не лоялен к банку;отказ
296;кредитовании не нуждаются;отказ нет потребности;не нужен\не может\не хочет
297;нет потребностив доп продуктах;отказ нет потребности;не нужен\не может\не хочет
298;принята в работу;отказ нет потребности;выполнено
299;свои обороты не маленькие;отказ нет потребности;небольшие обороты
300;не планирует выслушал;отказ нет потребности;не нужен\не может\не хочет
301;предложена корпкарта клиент подумает;отказ нет потребности;думает
302;плохая ки клиента;отказ не устр параметры;не соответсвует требованиям
303;ок отказ клиента;отказ нет потребности;отказ
304;в финансировании не нуждается;отказ нет потребности;не нужен\не может\не хочет
305;кредит закрыт досрочно;фз – отказ клиента;досрочное гашение
306;группа компаний планета;отказ нет потребности;голов. комп
307;не требуется лизинг отказались;отказ нет потребности;отказ
308;кредитуется в др банке;отказ нет потребности;др банк
309;клиент кредитоваться не может;отказ нет потребности;отказ
310;отказ не требуется;отказ нет потребности;отказ
311;планируют закрытие ип;отказ нет потребности;не ведет деятельность
312;отказ кк не нужно;отказ нет потребности;отказ
313;встреча с клиентом после;отказ нет потребности;надежда есть
314;справляются собственными ресурсами;отказ нет потребности;не нужен\не может\не хочет
315;продукт интересен но позже;отказ нет потребности;надежда есть
316;нет потребности в продукте;отказ сотруднич с др банком;не нужен\не может\не хочет
317;звонок г;отказ нет потребности;звонок
318;категорический отказ не кредитуются;отказ нет потребности;отказ категорический
319;клиенту интересна классическая вкл;отказ нет потребности;не нужен\не может\не хочет
320;клиент ликвидируется;отказ нет потребности;ликвидация
321;кредитоваться не планируют;отказ нет потребности;отказ
322;клиент несоответствует требованиям банка;отказ нет потребности;не соответсвует требованиям
323;по деятельности нет необходимости;отказ нет потребности;не ведет деятельность
324;кредит уже погашен;фз – отказ клиента;погашен
325;отказ кк нет залога;отказ не устр параметры;отказ
326;не устраивают процентные ставки;отказ нет потребности;дорогие тарифы
327;не требуется финансирование;отказ нет потребности;не нужен\не может\не хочет
328;не устраивает;отказ не лоялен к банку;условия
329;пока продукт не интересует;отказ нет потребности;не нужен\не может\не хочет
330;назначена встреча на;отказ нет потребности;надежда есть
331;у клиента реструктуризация;отказ не лоялен к банку;реструктуризация
332;реутруктуризация текущего кредита;отказ нет потребности;отказ
333;отрицательное заключение ар;отказ нет потребности;не соответсвует требованиям
334;очень большая за;отказ не устр параметры;не нужен\не может\не хочет
335;смена км;отказ нет потребности;км
336;клиент досрочно погасил кредит;фз – отказ клиента;погашен
337;повторить звонок;отказ нет потребности;звонок
338;проходит смена собственников;отказ нет потребности;реорганизация
339;отказалась писать письменный отказ;фз – отказ клиента;отказ
340;отказ пока не готов;отказ нет потребности;отказ
341;ранее общались не интересно;отказ нет потребности;не нужен\не может\не хочет
342;неит контаткных данных клиента;отказ нет потребности;нет контактов
343;вносят свои наличные средства;отказ нет потребности;не нужен\не может\не хочет
344;клиент пассивообразующий;отказ нет потребности;отказ
345;км зюзин;отказ не лоялен к банку;км
346;предложили кредитование отказ;отказ нет потребности;отказ
347;отказ приостановил деятельность;отказ нет потребности;не ведет деятельность
348;испол пр во;отказ нет потребности;отказ
349;бизнес на стадии ликвидации;отказ нет потребности;ликвидация
350;у клиента другой менеджер;отказ нет потребности;км
351;кредитная история плохая;отказ не устр параметры;не соответсвует требованиям
352;не кредитуются;отказ нет потребности;отказ
353;не может предоставить залог;отказ не устр параметры;не нужен\не может\не хочет
354;клиент обещал перезвонить;отказ нет потребности;звонок
355;кредитование не актуально;отказ продукт уже есть;не нужен\не может\не хочет
356;назначвен повторный звонок;отказ нет потребности;звонок
357;ца кред;отказ нет потребности;есть кредит
358;клиент справляется сосбвтенными средсвтами;отказ нет потребности;не нужен\не может\не хочет
359;потребность в кредитовании отсутствует;отказ нет потребности;не нужен\не может\не хочет
360;ность в кредитовании отсутствует;отказ нет потребности;не нужен\не может\не хочет
361;тяжелая ситуация;отказ нет потребности;не соответсвует требованиям
362;клиент приостановл свою деятельность;отказ нет потребности;не ведет деятельность
363;высокеи проценты;отказ не устр параметры;дорогие тарифы
364;ликвидировано егрюл;отказ нет потребности;ликвидация
365;не работают;отказ нет потребности;не нужен\не может\не хочет
366;финансирование пока не интересно;отказ нет потребности;не нужен\не может\не хочет
367;не привлекают заемные средства;отказ нет потребности;не нужен\не может\не хочет
