;text;cl_n;predict_cl
149;нет потребности счет оформлен;счет есть;счет есть
150;организация бездействует более года; не ведет деятельность; не ведет деятельность
151;обслуживаются в корпоративном банке;др банк;др банк
152;клиент бюджетник сегмент ргс;казн. + бюджет;казн. + бюджет
153;повторно выставленная задача;дубль;дубль
154;ликвидировано егрюл;ликвидация;ликвидация
155;терминал не нужен;не нужен\не может\не хочет;не нужен\не может\не хочет
156;прекратила деятельность в октябре; не ведет деятельность; не ведет деятельность
157;клиент не контактен;нет контактов;нет контактов
158;нет актуальных контактных данных;нет контактов;нет контактов
159;в стадии ликвидации;ликвидация;ликвидация
160;не устраивают тарифные планы;дорогие тарифы;дорогие тарифы
161;рко закрыт;счет закрыт;счет закрыт
162;предприятие на закрытие; не ведет деятельность; не ведет деятельность
163;отказ рко;отказ;отказ
164;счет в другом банке;др банк;др банк
165;не устривают тарифы банка;дорогие тарифы;дорогие тарифы
166;менять банк отказались;др банк;др банк
167;отказ счет закрыт;счет закрыт;счет закрыт
168;клиент работает с полухиной;км;км
169;тарасов сергей александрович;мусор;мусор
170;если нужно будет придет;отказ;отказ
171;прекращают обслуживание в сбербанке;планируют закрывать счет;планируют закрывать счет
172;клиент уже пользуется вэд;счет есть;счет есть
173;у клиента проходит реорганизация;реорганизация;реорганизация
174;бюджет обслуживается в уфк;казн. + бюджет;казн. + бюджет
175;черная зона;черная зона;черная зона
176;ип приостановил свою деятельность; не ведет деятельность; не ведет деятельность
177;фирма продана; не ведет деятельность; не ведет деятельность
178;подумают;думает;думает
179;отказался тарифы не устраивают;дорогие тарифы;дорогие тарифы
180;отказ нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
181;работают с местным банком;др банк;др банк
182;от разговора руководитель отказался;не разговаривают;не разговаривают
183;выбран сторонний банк;др банк;др банк
184;дубль;дубль;дубль
185;отказ решение головной компании;голов. комп;голов. комп
186;клиент поглощен головной компанией;реорганизация;реорганизация
187;устраивает обсуживание в россельзхозбанке;др банк;др банк
188;счет открыт и работает;счет есть;счет есть
189;негативное отношение к сб;не лоялен ;не лоялен 
190;зп в сбербанке;счет есть сб;счет есть сб
191;отказ клиента нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
192;направлено коммерческое предложение;выполнено;выполнено
193;устраивает нынешний банк;др банк;др банк
194;вэд не требуется;не нужен\не может\не хочет;не нужен\не может\не хочет
195;отказ не интересует предложение;не нужен\не может\не хочет;отказ
196;тарифы банка куб выгодней;дорогие тарифы;дорогие тарифы
197;счет организации уже открыт;счет есть;счет есть
198;дубль счет не интересен;дубль;дубль
199;отказ в даннный момент;пока;пока
200;отказ рко нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
201;не устраивают параметры продукта;условия;условия
202;ок не нужно;не нужен\не может\не хочет;не нужен\не может\не хочет
203;орагнизация с в ликвидации;ликвидация;ликвидация
204;счет открыт;счет есть;счет есть
205;выполнено;выполнено;выполнено
206;отправлено кп по кредитованию;выполнено;выполнено
207;клиенту это не нужно;не нужен\не может\не хочет;не нужен\не может\не хочет
208;отказ выбрали другой банк;др банк;др банк
209;все устраивает в кб;др банк;др банк
210;решение принимают вышестоящие структуры;голов. комп;голов. комп
211;клиент в коммандировке до;нет на месте;нет на месте
212;изъяли терминал;не соответсвует требованиям;не соответсвует требованиям
213;ок потребности нет;не нужен\не может\не хочет;не нужен\не может\не хочет
214;закрыла счёт;счет закрыт;счет закрыт
215;клиент работает по счету;счет есть;счет есть
216;проведены переговры;выполнено;выполнено
217;сотрудничает с хлынов банком;др банк;др банк
218;обслуживаются в саровбизнес банке;др банк;др банк
219;есть действующие вал счета;др банк;др банк
220;дорогое обслуживание;дорогие тарифы;дорогие тарифы
221;уже открыл р с;счет есть;счет есть
222;открытие счета не интересует;не нужен\не может\не хочет;не нужен\не может\не хочет
223;компания на стадии ликвидации;ликвидация;ликвидация
224;нет потребности в переходе;др банк;др банк
225;счет в сбербанке закрыт;счет закрыт;счет закрыт
226;клиенты скб инд тарифы;др банк;др банк
227;не устраивает наши тариф;дорогие тарифы;дорогие тарифы
228;имеется действующий р с;счет есть;счет есть
229;сотр с др банком;др банк;др банк
230;расчеты только через казначейство;казн. + бюджет;казн. + бюджет
231;в случае необходимости перезвонит;отказ;отказ
232;ликвидация ооо;ликвидация;ликвидация
233;дорогоие тарифы;дорогие тарифы;дорогие тарифы
234;отказано пока нет заинтересованности;не нужен\не может\не хочет;не нужен\не может\не хочет
235;клиенту не интересно предложение;не нужен\не может\не хочет;не нужен\не может\не хочет
236;клиент не нуждается;не нужен\не может\не хочет;не нужен\не может\не хочет
237;не наш сегмент;сегмент;сегмент
238;клиент обслуживается в казначействе;казн. + бюджет;казн. + бюджет
239;нет потребности в продукте;не нужен\не может\не хочет;не нужен\не может\не хочет
240;отказ нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
241;отказ;отказ;отказ
242;бухгалтер против сбребанка;не лоялен ;не лоялен 
243;нет сотрудников;не нужен\не может\не хочет;не нужен\не может\не хочет
244;оформлен договор на рко;счет есть;счет есть
245;деятельность закрыта; не ведет деятельность; не ведет деятельность
246;дорогое обслуживание;дорогие тарифы;дорогие тарифы
247;ликвидировано банкрот;ликвидация;ликвидация
248;имеется действующий р с;счет есть;счет есть
249;р с закрыт;счет закрыт;счет закрыт
250;спарк нет контакта;нет контактов;нет контактов
251;ликвидировано вследствие банкротства егрюл;ликвидация;ликвидация
252;ликвидировано егрюл;ликвидация;ликвидация
253;не лояльны к сбербанку;не лоялен ;не лоялен 
254;отказ уже предлагалось;отказ;отказ
255;детские садик отказ категорический;отказ категорический;отказ категорический
256;на грани ликвидации;ликвидация;ликвидация
257;клиента предложение не интересует;не нужен\не может\не хочет;не нужен\не может\не хочет
258;не надо кредитныъх средств;не нужен\не может\не хочет;не нужен\не может\не хочет
259;не нужно кредитование;не нужен\не может\не хочет;не нужен\не может\не хочет
260;р счет открыт;счет есть;счет есть
261;активно пользуются счетом;счет есть сб;счет есть сб
262;работает с др банком;др банк;др банк
263;клиент категорически против;не лоялен ;не лоялен 
264;отказ в данный момент;пока;пока
265;обслуживается в сб;счет есть сб;счет есть сб
266;актуально будет после нг;надежда есть;надежда есть
267;нет тел;нет контактов;нет контактов
268;рсхб менять не собираются;др банк;др банк
269;клиент закрыл предпринимательскую деятельность; не ведет деятельность; не ведет деятельность
270;нет потребности закрытие ип; не ведет деятельность; не ведет деятельность
271;светлана николаевна;мусор;мусор
272;имеется действующий р с;счет есть;счет есть
273;клиент имеет счет;счет есть;счет есть
274;счет в др банке;др банк;др банк
275;не требуется кредит;отказ;не нужен\не может\не хочет
276;предприятие на стадии ликвидации;ликвидация;ликвидация
277;работает с рсхб;др банк;др банк
278;руководитель отсутсвует;нет на месте;нет на месте
279;ликвидация;ликвидация;ликвидация
280;негатив к сб;не лоялен ;не лоялен 
281;отказ клиента;отказ;отказ
282;прекратил деятельность; не ведет деятельность; не ведет деятельность
283;клиент недавно закрыл счет;счет закрыт;счет закрыт
284;работают с другим км;км;км
285;нисего не нужно;не нужен\не может\не хочет;не нужен\не может\не хочет
286;сотрудничают с другим банком;др банк;др банк
287;пока нет необходимости;не нужен\не может\не хочет;не нужен\не может\не хочет
288;кредитами не пользуется;отказ;отказ
289;клиент справляется собственными средствами;собст ср;собст ср
290;отказ банка;отказ;отказ
291;отказ рко;отказ;отказ
292;открыл в вологжанине;др банк;др банк
293;информация доведена;выполнено;выполнено
294;нет такой потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
295;нет ипользуется клиентом;не нужен\не может\не хочет;не нужен\не может\не хочет
296;вопрос не актуален;не нужен\не может\не хочет;не нужен\не может\не хочет
297;отаз клиента;отказ;отказ
298;клиент ликвидируется;ликвидация;ликвидация
299;р сч открыт;счет есть;счет есть
300;отказ клиента решение учредителей;голов. комп;голов. комп
301;отказ работают с кб;отказ;отказ
302;не планирует менять банк;др банк;др банк
303;ежемесячная стоимость;дорогие тарифы;дорогие тарифы
304;сотудничает с др банком;др банк;др банк
305;категоричный отказ;отказ категорический;отказ категорический
306;кредитование пока не актуально;пока;пока
307;отказ клиент закрыл магазин; не ведет деятельность; не ведет деятельность
308;выбрали другой банк;др банк;др банк
309;комиссия не приемлема;дорогие тарифы;дорогие тарифы
310;янтимиров александр геннадьевич;мусор;мусор
311;отдалена территориально;территориально;территориально
312;в росбанке дешевле;дорогие тарифы;дорогие тарифы
313;клиент в стоп листе;ошибка выборки;ошибка выборки
314;проведены переговоры получен отказ;отказ;отказ
315;отказ потребности нет;не нужен\не может\не хочет;не нужен\не может\не хочет
316;проведены переговоры потребность отсутствует;не нужен\не может\не хочет;не нужен\не может\не хочет
317;хорошие отношения с кб;др банк;др банк
318;организация на стадии ликвидации;ликвидация;ликвидация
319;компания в стадии ликвидации;ликвидация;ликвидация
320;подучен отказ кл ента;думает;думает
321;нет потрнбности в продукте;не нужен\не может\не хочет;не нужен\не может\не хочет
322;клиент под банкротство;банкротство;банкротство
323;недоступен;не ответили;не ответили
324;ок орган не существует; не ведет деятельность; не ведет деятельность
325;клиент работает по счету;счет есть;счет есть
326;обслуживается в нашем банке;счет есть сб;счет есть сб
327;клиент прекратил деятельность ип; не ведет деятельность; не ведет деятельность
328;по фз закрыли счет;счет закрыт;счет закрыт
329;деятельность ооо не ведется; не ведет деятельность; не ведет деятельность
330;организация ликвидировалдась счет закрыт;ликвидация;ликвидация
331;стоимость открытия счета;дорогие тарифы;дорогие тарифы
332;отказ данная организация ликвидирована;ликвидация;ликвидация
333;счет закрыт московская компания;счет закрыт;счет закрыт
334;не расчитываются в валюте;не нужен\не может\не хочет;не нужен\не может\не хочет
335;акция озвучена;выполнено;выполнено
336;сотрудничают с альф банком;др банк;др банк
337;телефоны отсутстсвуют;нет контактов;нет контактов
338;ип ликвидирован бизнес закрыт;ликвидация;ликвидация
339;клиент отказался;отказ;отказ
340;не интересует отказ;не нужен\не может\не хочет;отказ
341;нет актуальных контактных данных;нет контактов;нет контактов
342;не интересует переход;не нужен\не может\не хочет;др банк
343;александр валерьевич;мусор;мусор
344;клиенту не интересено кредитование;не нужен\не может\не хочет;не нужен\не может\не хочет
345;счет открыт в сбербанке;счет есть сб;счет есть сб
346;вэд не осуществляет;не нужен\не может\не хочет;не нужен\не может\не хочет
347;уже используют валютный счет;счет есть;счет есть
348;задача пренаправлена на км;км;км
349;казначейство;казн. + бюджет;казн. + бюджет
350;отказ высокая комиссия;дорогие тарифы;дорогие тарифы
351;нет потребности продукт есть;не нужен\не может\не хочет;не нужен\не может\не хочет
352;пока не интересно;пока;не нужен\не может\не хочет
353;не хочет меня банк;не нужен\не может\не хочет;не нужен\не может\не хочет
354;низкая выручка;небольшие обороты;небольшие обороты
355;архив; не ведет деятельность; не ведет деятельность
356;не надо;не нужен\не может\не хочет;не нужен\не может\не хочет
357;не нашла контактов;нет контактов;нет контактов
358;дрогие тарифы;дорогие тарифы;дорогие тарифы
359;безналичных операций нет;не соответсвует требованиям;не соответсвует требованиям
360;свой банк устраивает;др банк;др банк
361;работают с другим банком;др банк;др банк
362;получен отказ клиента;отказ;отказ
363;нет ответа;не ответили;не ответили
364;предприятие закрыто; не ведет деятельность; не ведет деятельность
365;отказ клиента дорогое обслуживание;дорогие тарифы;дорогие тарифы
366;отказ разговаривать не стали;не разговаривают;не разговаривают
367;клиент в другом банке;др банк;др банк
368;проконсультипровала;выполнено;выполнено
369;недозвон запрос контактов;не ответили;не ответили
370;сбербанк не интересен;не лоялен ;не лоялен 
371;переговоры проведены;выполнено;выполнено
372;проведены переговоры клиент отказался;отказ;отказ
373;есть действующий счет;счет есть;счет есть
374;клиент не желает рко;не нужен\не может\не хочет;не нужен\не может\не хочет
375;закрыл счёт;счет закрыт;счет закрыт
376;не интересно открытие счета;не нужен\не может\не хочет;не нужен\не может\не хочет
377;привык к своему банку;др банк;др банк
378;не устраивает обслуж дорогое;дорогие тарифы;дорогие тарифы
379;нет потребности не устраивают;условия;не нужен\не может\не хочет
380;обслуживаются только в газпромбанке;др банк;др банк
381;ругается;отказ;отказ
382;некорректный номер телефона;нет контактов;нет контактов
383;отказ счет в уфк;казн. + бюджет;казн. + бюджет
384;алексей викторович владимир;мусор;мусор
385;ткпб уч ль;др банк;др банк
386;открытие счета не требуется;не нужен\не может\не хочет;не нужен\не может\не хочет
387;теплые дружеские отношения;др банк;др банк
388;нет потребности бухгалт;не нужен\не может\не хочет;не нужен\не может\не хочет
389;бросил трубку разговаривать отказался;не разговаривают;не разговаривают
390;продукты банка не заинтересовали;не нужен\не может\не хочет;не нужен\не может\не хочет
391;категорический отказ;отказ категорический;отказ категорический
392;клиента не устраивают тарифы;дорогие тарифы;дорогие тарифы
393;отказ рконет потребности;отказ;отказ
394;счет открыт валютный;счет есть;счет есть
395;проконсультировала;выполнено;выполнено
396;не интересно свой банк;не нужен\не может\не хочет;не нужен\не может\не хочет
397;отказ от встречи;отказ;отказ
398;счет планирую к закрытию;планируют закрывать счет;планируют закрывать счет
399;есть продукт;счет есть;счет есть
400;отказ дорогое обслуживание;дорогие тарифы;дорогие тарифы
401;работает давно переходить нехотят;др банк;др банк
402;обслуживаются только в казначействе;казн. + бюджет;казн. + бюджет
403;категорический отказ от обслуживания;отказ категорический;отказ категорический
404;клиенту достаточно собственных средств;отказ;отказ
405;есть доверие платит;счет есть;счет есть
406;обходятся собственными средствами;собст ср;собст ср
407;ип деятельность не осуществляет; не ведет деятельность; не ведет деятельность
408;возобновление оборотов;счет есть;счет есть
409;контакты не найдены;нет контактов;нет контактов
410;дорогие тарифы за рко;дорогие тарифы;дорогие тарифы
411;эквайринг не актуален;др продукт сб;др продукт сб
412;информации не дает;не разговаривают;не разговаривают
413;расч счет уже открыт;счет есть;счет есть
414;ок счет уже открыт;счет есть;счет есть
415;счет есть;счет есть;счет есть
416;не устраиваю тарифы;дорогие тарифы;дорогие тарифы
417;нет потребности и дорого;дорогие тарифы;дорогие тарифы
418;р сч в сбербанке;счет есть сб;счет есть сб
419;контакты клиента не найдены;нет контактов;нет контактов
420;счет закрыл недавно;счет закрыт;счет закрыт
421;по необходимости обратятся сами;не нужен\не может\не хочет;не нужен\не может\не хочет
422;задача выполнена;выполнено;выполнено
423;отказ ставка не устраивает;отказ;отказ
424;нет необходимости;не нужен\не может\не хочет;не нужен\не может\не хочет
425;отказ экв;отказ;отказ
426;не устраивает цена обслуживания;дорогие тарифы;дорогие тарифы
427;долгосрочные партнерские отношения;др банк;др банк
428;нет текущей потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
429;тказ нет потребности;не нужен\не может\не хочет;не нужен\не может\не хочет
430;андрей викторович;мусор;мусор
431;обслуживаютс я в уфк;казн. + бюджет;казн. + бюджет
432;телефоны не отвечают;не ответили;не ответили
433;банк менять не собирается;др банк;др банк
434;имеется действующий р с;счет есть;счет есть
435;необходимость отсутствует;не нужен\не может\не хочет;не нужен\не может\не хочет
436;открытие счета не актуально;не нужен\не может\не хочет;не нужен\не может\не хочет
437;готово;выполнено;выполнено
438;клиент банкрот;банкротство;банкротство
439;бух татьяна;мусор;мусор
440;счет у клиента открыт;счет есть сб;счет есть
441;закрыт счёт;счет закрыт;счет закрыт
442;счетом пользуется все устраивает;др банк;др банк
443;клиента ничего не интересует;отказ;не нужен\не может\не хочет
444;тарифы в сб дорого;дорогие тарифы;дорогие тарифы
445;ип закрыла дома сребенком; не ведет деятельность; не ведет деятельность
446;дорогое ежемесячное обслуживание;дорогие тарифы;дорогие тарифы
