;text;result;predict_cl
28;форма собчтвенности фгуп расчетный счет не может быть открыт в ком банке предложение не интересует;отказ нет потребности;не нужен\не может\не хочет
29;имп ожидание решения клиента оставлены контакты км;отказ нет потребности;км
30;осуществлена совместная встреча с рвсп и руководителем ооо энерготранссервис инн и ооо энерготранссервис инн сергеем владимировичем и главным бухгалтером валентиной николаевной при общении уточено что открыты расчетные счета в х банках вбрр тк связаны с юнг уралсибе ранее до вступления в должность действующего руководителя и бухгалтера была взята бг необходимо было разместить депозит в уралсибе планируют прекратить отношения с данным банком после марта года а так же наличие расчетного счета в хмб так же привязка по основным к;отказ нет потребности;др банк
31;клиент закреплен за мной по ошибке не мой сегмент я уже об этом писала;отказ нет потребности;сегмент
32;отказался открытвать из за дорогового обслуживания;отказ нет потребности;условия
33;не устроила цена от встречи отказался;отказ не устр цена продукта;дорогие тарифы
34;мих юр пока все устраивает в своем банке кредитование не требуется работают собственными силами;отказ нет потребности;др банк
35;открыт в другом банке мдм все устраивает будут иметь ввиду но пока ничего не надо;отказ продукт уже есть;др банк
36;отказался открывать р с дорогое обслуживание;отказ нет потребности;дорогие тарифы
37;директор матвеева наталия петровна обслуживается в мдм банке руб если отсутствуют операции то обслуживание нулевое;отказ не устр цена продукта;др банк
38;отаз нет потребности что то менять долгосрочные отношения со своим банком;отказ нет потребности;др банк
39;в данный момент ничего не требуется клиент поблагодарил за информацию если потребуется кредит или лизинг то обратиьтся в банк;отказ нет потребности;отказ
40;сообщения о принятии решения о ликвидации вестник государственной регистрации;отказ не лоялен к банку;ликвидация
41;предложение по переводу не рассматривают ни кп ничего орг входит в группу по лпр;отказ нет потребности;отказ
42;руководитель подсумкова дарья леонидовна директор подсумков антон юрьевич супруг связь гарант с флагман обслуж как вип клиенты в бм лет ставки по кредитам и как вариант условия сбербанка хотели бы рассмотреть контакты переданы при необх свяжутся придут на встречу сейчас есть д вующие кредиты т р и т р;отказ продукт уже есть;др банк
43;иожиц андрей алексеевич р сч уже открыт в каком банке не озвучили более разговаривать не стали положили трубку;отказ продукт уже есть;не разговаривают
44;у клиента уже есть открытый расчетный счет в сбербанке от;отказ нет потребности;счет есть сб
45;у данного клиента счет может быть открыт только в казначействе;отказ нет потребности;казн. + бюджет
46;гос учреждение не может открывать счета по своей воле;отказ нет потребности;не нужен\не может\не хочет
47;гк автоград сотрудн с др банком втб зао райффайзенбанк переходить непланируют повторное проведение переговоров на кв год;отказ сотруднич с др банком;др банк
48;организаци япоменяла форму собственности с зао на ооо сменился инн на а эта организация за другим км численность сотрудников человека обслуживаются в сбербанке;отказ нет потребности;км
49;переговоры с руководителем не называет банк в котором обслуживается против рко в сбербанке дорогое обслуживание кредитвание не интересует на встречу не согласилась;отказ нет потребности;дорогие тарифы
50;з проект не действует открывать счет в сбербанке не намерены;отказ нет потребности;отказ
51;обслуживается в рсхб переходить в сб не будет;отказ нет потребности;др банк
52;гл бух светлана николаевна ответила что организация маленькая имеют р сч в мдм банке ой счет не нжен от встречи отказалась;отказ нет потребности;мусор
53;юр лицо находится в стадии ликвидации;отказ нет потребности;ликвидация
54;фио предпринимателя перевозчиков сергей александрович огрнип инн окпо окато кемеровская область гражданство российская федерация статус ип физическое лицо прекратило деятельность в качестве индивидуального предпринимателя на основании собственного решения егрип;отказ нет потребности; не ведет деятельность
55;клиент будет ип закрывать счет закрыл зпп не расторг;отказ нет потребности;планируют закрывать счет
56;уже много лет сотрудничает с челябинвестбанком рко дешевле клиенту лет не планирует смену банка по обслуживанию;отказ нет потребности;дорогие тарифы
57;обслуживается в челиндбанке ведение счета в челиндбанке руб в сбербанке минимум руб ежемесячно по другим позициям рко в челиндбанке тоже дешевле;отказ не устр цена продукта;дорогие тарифы
58;переговорила с директором владимиром викторовичем сказал что рко у них в кольце урала их тарифы устраивают наши смотрели тарифы но учредитель не одобрил т к на много дороже и не видят смысла в переходе доп терминалы пока не нужны хватает двух;отказ сотруднич с др банком;дорогие тарифы
59;клиент обслуживается в уралтрансбанке переходить на обслуживание в сбербанк не собирается за обслуживание р с оплачивает рублей;отказ сотруднич с др банком;др банк
60;ранее был открыт р с для кредита доверие как предприниматель кредит доверие закрыла так сразу же закрыли рас счет за не надобностью;отказ нет потребности;счет закрыт
61;клиент негативно относится к предложениям от сбербанка отказ сотрудничать с банком;отказ сотруднич с др банком;не лоялен 
62;клиент обслуживается в социнвестбанке на более выгодных для него условиях;отказ не устр параметры;др банк
63;нет потребности не собирается переходить на рко счбербанка;отказ нет потребности;не нужен\не может\не хочет
64;уб ркоммб клиент пользуется услугами рко в другом банке переходить не планирует т к тарифы ниже чем в сб;отказ нет потребности;др банк
65;у клиента заключен рко в банке и эквайринг задача указана не корректно;отказ нет потребности;дубль
66;отказались от открытия р с дорого;отказ нет потребности;дорогие тарифы
67;клиент не сответствует требованиям к организациям которым банк предоставляет кредитные продукты в следствии чего не заинтересован сотрудничать по некредитной продуктовой линейке банка;отказ сотруднич с др банком;отказ
68;озвучена акция но клиент обслуживается в другом банке рко р у нас дорого;отказ нет потребности;др банк
69;у клиента открыт счет в стороннем банке проведена консультация по действующим тарифам нашего банка получен отказ по открытию счета по причине удаленности обслуживания по очным операциям через удаленные каналы клиент работать не хочет;отказ нет потребности;отказ
70;клиент категорически отказывается сотрудничать с пао сбербанк крайне неготивно откликается о банке считает что клиент свинья а банк это бог сказал что не давал согласие банку ему звонить просил больше не набирать данный номер телефона;отказ сотруднич с др банком;не разговаривают
71;работают с экспресс волга не планируют переходить;отказ сотруднич с др банком;др банк
72;клиент отказывается переходить из ткпб выдача;отказ нет потребности;др банк
73;по безналу практически не работает в открытии счета не заинтересован;отказ нет потребности;не нужен\не может\не хочет
74;клиент работает давно с челиндбанком менять банк не хочет;отказ нет потребности;не нужен\не может\не хочет
75;проведена консультация по рко клиент сотрудничает с челиндбанком переходить в сбербанк отказавается устраивает свой банк;отказ нет потребности;др банк
76;телефон из выписки егрюл уже не тот ответил мальчик и казал что я ошиласть найденный в интернете телефон не отвечает;отказ нет потребности;не ответили
77;отказ не устраивают условия обслуживания на удаленной территории;отказ не устр параметры;условия
78;клиенту был предоставлен калькулятор его не устроила переплата;отказ не устр параметры;не нужен\не может\не хочет
79;клиент перевел обороты из сбербанка всвязи с тем что не устраивает интернет банк сббол а когда счет открывали спэд отказали подключать возвращать обороты в сбербанк не собираются;отказ нет потребности;не лоялен 
80;отказ от открытия счета предприятие входит в гп вехлова ю г;отказ нет потребности;отказ
81;переговоры г руководительпояснил что в кбб обслуживается более лет комиссия минимальная обслуживание оперативное отличного качества менять обслуживающий банк по вэд непланирует;отказ нет потребности;др банк
82;на предприятии проходит реорганизация деятельность приостановлена;отказ нет потребности;реорганизация
83;в настоящий момент клиент не готов откывать доп счета в сб основной счет в ак барсе;отказ нет потребности;отказ
84;относится к нткрз заемщику красной зоны;отказ нет потребности;черная зона
85;клиент не работает с валютными переводами;отказ нет потребности;счет есть
86;отказ клиента обслуживается в карманном банке оао уралтрансбанк под индивидуальный тариф;отказ нет потребности;др банк
87;олег николаевич счет в дркгом банке с момента основания там все устраивает менять не хотят акция не заинтересовала;отказ не устр параметры;др банк
88;клиент входит в гк вайлдберриз в настоящее время головная компания является клиентом срб;отказ не устр параметры;счет есть сб
89;согласно сз уб на клиента имеется негативная информация сотрудничество не рекомендовано;отказ не лоялен к банку;не нужен\не может\не хочет
90;расчетный счет у организации открыт нареканий к нему нет все устраивает другие продукты не интересуют;отказ продукт уже есть;не нужен\не может\не хочет
91;года назад подавали заявку на кредит отказали есть обида переходить к нам нет желания все устраивает в быстробанке;отказ нет потребности;др банк
92;договор торг экв расторгнут магазин закрыт деятельность поменялась строительные услуги в тендерах не участвуют бг не требуется рассказано о кред продукте б контракт онов акценты принял к сведению приглашен на встречу для открытия расч счета предложена акция отказался отправлены контакты смс валеев артур альфинатович;отказ нет потребности;отказ
93;проведены переговоры на предмет рко ранее счет уже был в нашем банке ушал в рсхб т к стали дорожен тарифы переходить пока точно не будет;отказ не устр цена продукта;др банк
94;все устраивает в другом банке смену не планируют на встречу притйт отказались;отказ не устр параметры;др банк
95;клиенты банка имеют действующие продукты услуги при этом по ним были перечисления на счета не в сб познакомились с надежлдой ивановной рко в другом банке переходить к нам не хочет даже на более выгодных условиях утверждает что рко в сб никогда у нее не ьбыло в частности кредитво и тэ потребности нет сказал что сейчас не удобно разговаривать дубль;отказ нет потребности;не нужен\не может\не хочет
96;счет все также в ижкомбанке менять не будет только в случае кредитования а это ближе к осени сейчас нет поручителя по вопросу кредитования уже общалась с менеджером;отказ не устр цена продукта;др банк
97;ситуация по рко не изменилась менять банк не будеит кредитование все также не интересует бг не пользуются;отказ нет потребности;не нужен\не может\не хочет
98;клиент обслуживается в смп банке неоднократно обращался в сб за кредитом получал отказы сеть аптек терминалы росбанка тариф минимальный сб постоянно предлагает но дороже;отказ не лоялен к банку;счет есть сб
99;на данный момент вариант перехода в сб не рассматривает пока не будут снижены тарифы за обслуживание кредитваоние не нактуально;отказ нет потребности;пока
100;ранее обслуживался в сб не устроили ни условия ни качество ушел в втб там дружеские отношения с рук лем зп не пользуется наши предложения не интересны;отказ не лоялен к банку;не нужен\не может\не хочет
101;не устраивают тарифы банка открыт счет в быстробанке;отказ не устр цена продукта;дорогие тарифы
102;по этому номеру не удается дозвониться;отказ нет потребности;не ответили
103;нет потребности в рко счет открыт в рсхб все устраивает;отказ нет потребности;др банк
104;переговоры с клиентом проведены кроме тэ от сб клиента больше ничего не интересует менять банк не будет;отказ нет потребности;отказ
105;юниаструм устраивает полностью терминал тоже довольно дорого содержать только ради клиентов не отказывается;отказ не лоялен к банку;дорогие тарифы
106;юлии евгеньевна не было на раб месте разговаривала со светланой директор магазина клиент приглашен на встречу по рко и кредитным продуктам записали тел км позвонят;отказ нет потребности;нет на месте
107;не интересует р сч в сбербанке;отказ нет потребности;не нужен\не может\не хочет
108;отказ рко клиент работает с другим банком обслуживание и тарифы устраивают в ближайшие полгода нет потребности в рко;отказ нет потребности;др банк
109;разговаривалс бух екатериной алексеевной потребностив кредитовании нет;отказ нет потребности;мусор
110;достаточно собственных ср в потребности в привлечении заемных ср в нет;отказ нет потребности;не нужен\не может\не хочет
111;пока не требуется догашивает действующие кредиты;отказ нет потребности;не нужен\не может\не хочет
112;отказ на данный момент нет потребности;отказ нет потребности;не нужен\не может\не хочет
113;у клиента уже есть открытый счет;отказ продукт уже есть;счет есть
114;клиент ведет деятельностьв кировской области отказ;отказ не устр параметры;отказ
115;клиент закрывает компанию открыл ип и счет у меня;отказ нет потребности; не ведет деятельность
116;поговорила с директором франс кафе елена она дала телефон офиса где работает владелец бизнеса перезвонить после обеда дозвонилась до финансового отдела бегеза евгений т к непосредственно с руководителем не соединяют директор финансового отдела сообщил что обслуживание в сбербанке дорогое на что я сказала что подход к каждому клиенту индивидуальный и обслуживание комплексное пригласила на встречу на что он отказался;отказ нет потребности;не ответили
117;обслуживаются в банке левобережный там и кредитуются подумают про открытие но пока все устраивает в том банке;отказ нет потребности;др банк
118;проведена беседа с директором в кредитовании нет потребности т к имеются собственные средства кредиты не привлекают;отказ нет потребности;не нужен\не может\не хочет
119;клиенту принципиально не интересны предложения по кредитам;отказ нет потребности;не нужен\не может\не хочет
120;кредитование не интересует пока в будущем возможно потребуется но пока справляются самостоятельно;отказ нет потребности;пока
121;счет уже есть кредит не актуален;отказ нет потребности;счет есть
122;о смене банка в настоящее время не думает возможно после нового года;отказ нет потребности;думает
123;жукова валентина николаевна директор проведены переговоры с клиентом нет потребности отказ от встречи клиент сообщил что постоянно мониторит рынок и в случае необходимости обратится сам;отказ нет потребности;не нужен\не может\не хочет
124;клиент зарегистрирован чуть более года деятельность не осуществляет один из учередителей сказал что планируют добавить новый вид деятельности торгово посреднические услуги но срок пока не может уточнить т к окончательное решение собственниками еще не принято;отказ нет потребности; не ведет деятельность
125;давно сотрудничают с банком не стали называть все устраивает;отказ нет потребности;др банк
126;id пр р с основной пр б втб б с с т т т т id пр з п пр б втб б с с т т т т клиент обслуживается в втб все устраивает открывать еще счет не планируют;отказ нет потребности;др банк
127;потребности нет в кредитовании справляются сами;отказ нет потребности;не нужен\не может\не хочет
128;григорьев владимир николаевич работают с другим банкои все устраивает;отказ сотруднич с др банком;др банк
129;ип мартынова татьяна ивановна отказалась разговаривать со сбербанком причину не пояснили;отказ не лоялен к банку;не разговаривают
130;отказ счет открыт в уфк по кемеровской области;отказ нет потребности;казн. + бюджет
131;клиент работает с банком москвы у нас тэ менять банк не планирует id пр р с основной пр б банк москвы б с с т т т т;отказ нет потребности;др банк
132;у клиента изъяты терминалы расторгнут договор и закрыт счет есть задолженность рублей за терминалы;отказ нет потребности;счет закрыт
133;р сч открыт в россельхоз банке переходить на обслуживание в сб пока не собирается;отказ нет потребности;др банк
134;интересует откр р сч только для оплаты на время приостановки операций ифнс пф открыть не можем отказ дейст приостановки бухг лариса афанасьевна;отказ нет потребности;отказ
135;клиент работает с другим банком там голраздо ниже тарифы отказ от сотрудничества;отказ не устр параметры;др банк
136;сам клиент проживает в г новосибирске в городе краснокаменск по доверенности работает сестра терских ирина николаевна терминал и расчетный счет в городе открыты в пао россельхозбанке так же имеется торговая точка в красном чикое там так же открыт р сч в россельхоз банке а терминал установлен сбербанка в городе открывать счет в сбербанке не будут удобно в россельхоз;отказ нет потребности;счет есть сб
137;отказ клиента от перехода на обслуживание в сбербанк слишком высокие тарифы клиент сейчас обслуживается в ргс банке;отказ не устр параметры;дорогие тарифы
138;отказ клиент имел кредит в сб брал на оборотку мес срок кредитования не устраивает взял кредит в форбанке пакет документов меньше оценка более приближенная к рыночной кредит взяли на лет что позволит без лишней нагрузки на бизнес делать выплаты держать два счет клеинту невыгодно тем более обслуживание в форбанке дешевле руб в мес терминалы есть в торгах не принимате участие;отказ нет потребности;дорогие тарифы
139;у клиента счет в бинбанке к не планирует переводится орставил визитку говорит что у нас дорого не планирует не куда переводимтся;отказ нет потребности;дорогие тарифы
140;отказ нет потребности комментарии отказалась дать;отказ нет потребности;отказ
141;виктория управляющая обсл в росбанке категорически отказ уже не раз обсуждали р с в другом банке id пр р с основной пр б росбанк б с с т т т т;отказ сотруднич с др банком;др банк
142;услуги банка устраивают открывать счет в сб не будут счет открыт в др банке все доп услуги там же;отказ сотруднич с др банком;счет есть
143;ранее обслуживались в сб в ф не устроило обслуживание и клиентоориентирован на предлож открыть счет на условиях акции бесплат открытие ый месяц бесплатн обслуживание клиент отказался ради одного месяца считает не целесообразным собирать док ты для открыт сч менять реквизиты с контрагентами;отказ не устр параметры;не нужен\не может\не хочет
144;клиент обслуживается в бинбанке переходить на обслуживание в сбербанк категорически отказывается основная причина отказа высокие тарифы обслуживания и невсегда корректная работа дистанционного обслуживания о котором клиент наслышен от клиентов сбербанка;отказ сотруднич с др банком;дорогие тарифы
145;клиент работает с ткпб условия устраивают тарифи на прием минимальные переходить не планирует;отказ нет потребности;др банк
146;клиент обслуживается в ткпб руководство организации категорически против переходить в другой банк там все устраивает;отказ нет потребности;др банк
147;был отказ по кредиту клиент не обслуживается в ком банке;отказ не лоялен к банку;не соответсвует требованиям
148;степанников петр васильевич не лоялен к банку категорический отказ от рко;отказ не лоялен к банку;не лоялен 
149;работают с промсвязьбнком и по рко и по зп фот труб менять банк не будут;отказ не лоялен к банку;отказ
150;категорический отказ дорогое обслуживание для клиента;отказ нет потребности;дорогие тарифы
151;расчетный счет в нашем банке уже откры предприятие сменила форму собственности на ооо;отказ нет потребности;счет есть сб
152;обслуживаются в банке екатеринбург по распоряжению собственника администрации екатеринбурга;отказ сотруднич с др банком;др банк
153;зи у клиента нет потребности в данном продукте;отказ нет потребности;не нужен\не может\не хочет
154;ок клиент сотрудничает с другим банком;отказ сотруднич с др банком;др банк
155;ок з проект в другом банке;отказ сотруднич с др банком;др банк
156;геннадий михайлович директор он же собственник отказ от предложения не устраивают тарифы даже с учетом спец предложения сравнивал разные банки в сб все дороже эквайринг также не устраивает высокий тариф сейчас подал документы для откр счета в банке точка направила предложение по пакетам услуг на эл почту;отказ категорический отказ;дорогие тарифы
