;TEXT;class
32;звонок клиентом иван должность руководитель место встречи офис банка телефон клиента повод активности привлечение кредитование предложено бизнес инвест требуется повторный звонок клиента не_дозвонился назначен повторный звонок;звонок
33;перезакрепление другого;сегмент
34;кредитование не_интересует текущий момент будут иметь ввиду заинтересовал зарплатный проект войс информатор корпоративная карта запланирована встреча;встреча
35;сотрудничает банком москвы;др банк
36;нет_потребности кредитовании расчетный счет закрыт;счет закрыт
37;клиента нет_потребности кредитовании клиент принцепе не_хочет кредитоваться приобретать либо менять авто;отказ
38;нскм васнев андрей николаевич обслуживание кредитование готовы рассматривать не_ранее след года тендерах аукционах не_участвуют лизинг не_интересен;мусор
39;не_отработана сроки;не нужен\не может\не хочет
40;настоящее время потребности кредитовании клиенту интересно предложение лизингу летом назначен звонок;не нужен\не может\не хочет
41;не_отработана сроки;не нужен\не может\не хочет
42;направлено предл;не отработана. перенесена
43;кредитование не_интересно действующий кредит сбере лизинг не_нужен обновили не_интересен планируют открыть брокерский счет;есть кредит
44;не_отработана сроки;не нужен\не может\не хочет
45;не_отработана сроки;не нужен\не может\не хочет
46;переговоры руководителем данный момент отказ встречи кредитованию;пока
47;назначена встреча;встреча
48;клиент данный момент сложном положении выручка упала раза сложности уплатой текущих кредитов;пока
49;занимается оптовой торговле пишевыми прод деят расширять не_планируют кредитование не_интересует;не ведет деятельность
50;реговоры проведены потребности лизинге нет_используют наемный транспорт;не нужен\не может\не хочет
51;компания прекратила существование счет банке закрыт одностороннем порядке;счет закрыт
52;выслушал условия лизингу залоговому беззалоговому кредитованию пока собирает информаци далее пока не_планирует делать;не отработана. перенесена
53;отказ нет_потребности;отказ
54;банке данный момент не_обслуживаются оргиназация стоп листе услугами банка не_пользуются;пока
55;кредитование депозит торговля оптовая мебелью овчаренко сеть магазинов розница данный момент предложены кредитные продукты условия оставлены конт данные вопросам размещения озвучены условия продукты данное предложение;не отработана. перенесена
56;компания не_кредитуется;не ведет деятельность
57;эдуард томазовчи сообщил интересно кредитование хочет выкупить недвижимость имеет ресторана подойдет встречу;не нужен\не может\не хочет
58;недозвон недозвон;не ответили
59;сейчас потребности нет_продуктах заинтересованность сейчас нет_потребности;не нужен\не может\не хочет
60;настоящий момент вносят изменения действующую кредитную сделку новый кредит оформлять пока не_планируют;не нужен\не может\не хочет
61;интересен оборот пополнения оборотки;небольшие обороты
62;клиент озвучил финансирование не_интересует обсуждался вопрос участия клиента торгах предложена банковская гарантия клиент озвучил суммы гарантий не_большие обходятся своими средствами;не нужен\не может\не хочет
63;отказ организацитя не_кредитуется;отказ
64;процедура банкротство;банкротство
65;клиен подойтет внесение заявки;не соответсвует требованиям
66;клиент передан новому;не нужен\не может\не хочет
67;шперлин виктор викторович отсутствует потребность продуктах кредитованию;не нужен\не может\не хочет
68;клиентом проведены переговоры клиент занимается возведением многоэтажного строительства обращались вопросу кредитование клиентом получен отказ;отказ
69;клиент думает проекту;интересует
70;клиент планирует переразмещение средств втом объеме;не соответсвует требованиям
71;кредит лизинг не_рассматривают;др продукт сб
72;отказ треб продукт отсут;не нужен\не может\не хочет
73;нет_залога рассмотрят;надежда есть
74;переговоры проведены клиент не_кредитуется потребности автолизинге нет;не нужен\не может\не хочет
75;настоящее время заемных средствах не_нуждаются;не нужен\не может\не хочет
76;проведены переговоры ластовский вопросу возможного кредитования лизинга нет_потребности;переговоры
77;собственника нет_месте живут границей;не нужен\не может\не хочет
78;проведены переговоры руководителем организации рябчевский вопросу лизинга клиент принял информацию сведению;не отработана. перенесена
79;нет_потребности;не нужен\не может\не хочет
80;не_кредитуются;не нужен\не может\не хочет
81;данный момент нет_потребности продукте;пока
82;предприятие серой зоны производство находится территории;не ведет деятельность
83;данный момент не_интересно;пока
84;не_отработана сроки;не нужен\не может\не хочет
85;потребность кредитовании покупку векселей отправлен верификацию;не нужен\не может\не хочет
86;нет_потребности продукте;не нужен\не может\не хочет
87;овэд клиента стоп фактор;ошибка выборки
88;дополнительное финансирование не_нужно;не нужен\не может\не хочет
89;встреча;встреча
90;плохая совокупная кредитная история;не соответсвует требованиям
91;нет_необходимости заемных средствах текущем времени;отказ
92;проведены переговоры руководителем отказ лизинга минпромторг организация не_любит брать лизинг потребность кредитовании руководитель сразу обратится сбербанк;нет на месте
93;клиента не_интересует кредитование;отказ
94;нет_потребности кредитовании;не нужен\не может\не хочет
95;предприятие не_кредитуются денег нет_платить нечем всего отказались убыточные;дорогие тарифы
96;кредит не_нужен переговоры еинвойсинг;переговоры
97;нет_потребности продукте;не нужен\не может\не хочет
98;кредитование не_интересует возможно понадобится лизинг взаимосвязанную компанию;надежда есть
99;настоящее время заемных средствах не_нуждаются;не нужен\не может\не хочет
100;назначена встреча;встреча
101;клиента нет_потребности кредитовании работают счет собственных средств лизинг не_нужен не_собираются преобретать;не нужен\не может\не хочет
102;проведены переговоры пока нет_необходимости финансировании;переговоры
103;проблемы гашением кредитов оформил реструктуризацию;реструктуризация
104;не_соответстует минимальным требованиям заемщика согласно;клиент согласен на
105;продукт презентовала пока потребнсоти нет;не нужен\не может\не хочет
106;компания входит группу основным заемщиком выступает оганисян;не ведет деятельность
107;не_отработана сроки;не нужен\не может\не хочет
108;плохая;не соответсвует требованиям
109;телефоны не_отвечают направлено предложение почту;не отработана. перенесена
110;запросили верификатор лизинг пока не;не нужен\не может\не хочет
111;не_используют заемные средства собственные дополнительные услуги не_требуются;не нужен\не может\не хочет
112;компания находится связке средним бизнесом проходит процедура пересегментации;территориально
113;работе;не ответили
114;производство проектно конструкторских изделий пополнении обор нет_потребности маленькие сами справляемся лизинг не_интересен личное авто;обратится сам
115;не_отработана сроки;не нужен\не может\не хочет
116;не_отработана сроки;не нужен\не может\не хочет
117;клиент не_отвечает звонки;отказ
118;нет_потребности;не нужен\не может\не хочет
119;не_отработана сроки;не нужен\не может\не хочет
120;организация занимается разработкой програмного обеспечения потребность финансировании исполнение контрактов сумма доверие не_подходят предложила доверие отправлен пакет документ аутсорсинге учет;не нужен\не может\не хочет
121;телефонов клиента не_отвечает;нет контактов
122;данная организация подлежит закрытию;не ведет деятельность
123;лизинг имеется пока не_интересно кредиты не_актуален;есть кредит
124;нет_необходимости;не нужен\не может\не хочет
125;продажа тепловых насосов сопутств материалов кредитование интересно;отказ
126;категорический отказ кредитование неинтересно ближайшие полгода;отказ категорический
127;проведены переговоры кредитные средства данный момент не_требуются продукты лизинга не_интересны;пока
128;телефон клиента недоступен повторный звонок;звонок
129;кредитование не_интересует;отказ
130;кредитование оформлено макарову;отказ
131;звонок директору ежовой марине_клиент первых слов разговора ответила отказом предложение кредитования;звонок
132;потребностей нет;не нужен\не может\не хочет
133;перезвонить клиенту июне;звонок
134;пока не_рассматривает кредитование;пока
135;не_отработана сроки;не нужен\не может\не хочет
136;имеют большую долговую нагрузку настоящее время;не нужен\не может\не хочет
137;направлено овердрафту;не отработана. перенесена
138;перезвонить вопросу кредитования июле;звонок
139;кошкина лариса анатольевна организацию продали;не ведет деятельность
140;пока не_нужно летом видно;пока
141;интересен кредит сумме приобретение оборудования передан перечень необходимых документов;не нужен\не может\не хочет
142;нет_потребности отказ;отказ
143;не_интересует данное время;не нужен\не может\не хочет
144;встреча;встреча
145;нафиса гаджикурбан кызы выручка компании рекламное агенство андромеда около выписке указанному телефону звонок совершен течении раза клиент не_берет трубку;не разговаривают
146;пока клиента нет_проектов кредитования;отказ
147;номер не_обслуживается;нет контактов
148;александр_евгеньевич познакомилась направила контакты почту не_нужно тендерах участвуют не_трубуеться интересно рамках гозоборон заказа;нет контактов
149;сергей владимирович генеральный директор согласен собрать пакет документов рассмотрения возможности получения банковской гарантии пакет первоначальных документов направлен почту клиенту;документы
150;провдены переговоры бухгалтером ольгой николаевной юрия владимировича не_месте достигнута договоренность встречу предвартельно позвонив;встреча
151;назначена встреча клиент подъедет;встреча
152;клиенту хватает своих кредит не_интересен;не нужен\не может\не хочет
153;взял кредит бизнес цели лицо нашем банке предложен лизинг автомобиль новый пока менять не_планирует рассказала информацию скинула почту контактами;не отработана. перенесена
154;работе;не ответили
155;клиентом неоднократно проводились переговоры кредитованию;переговоры
156;заинтересованы кредитовании сборосили пакет документов виктор собирают документы;документы
157;не_устраивают ставки кредитам сказал настоящее время очень опасно кредитоваться сегодня работа завтра нет;дорогие тарифы
158;руководитель категорически против кредитов не_кредитуются;не лоялен 
159;не_поднимает;не нужен\не может\не хочет
160;клиент принял предложение кредитованию необходимо ирине_геннадьевне_облсудить директором планируется встреча после;встреча
161;категорический отказ заемных средствах не_нуждается;отказ категорический
162;пока не_интересует общался директором;пока
163;клиент проинформирован действующей программе льготного лизинга;не отработана. перенесена
164;предложены продукты кредитования отказ нет_потребности работают предоплате;отказ
165;обещал подумать апреле обратится;интересует
166;не;не нужен\не может\не хочет
167;нет_потребности;не нужен\не может\не хочет
168;клиент не_хочет пользоваться кредитами;отказ
169;назначена встреча клиентом;встреча
170;настоящее время заемных средствах не_нуждаются;не нужен\не может\не хочет
171;обходяться собственными средствами;не нужен\не может\не хочет
172;клиента нет_потребности кредитовании;не нужен\не может\не хочет
173;заинтересовпны кредитовании не_лояльны банку связи мошенническими действиями контрагента;нет контактов
174;проведены переговоры пока нет_необходимости финансировании;переговоры
175;потребность точке эквайрингу приняты документы;документы
176;клиента нет_потребности кредитовании;не нужен\не может\не хочет
177;проведены переговоры пока нет_необходимости финансировании;переговоры
178;нет_потребности кредитовании;не нужен\не может\не хочет
179;клиента нет_потребности кредитовании;не нужен\не может\не хочет
180;клиента заинтересовало предложение думает звонок;интересует
181;переговоры руководителем николай валентинович заинтересован лизинге оборудование;мусор
182;предприятие сократило штаты своих работников кредит не_нужен;не нужен\не может\не хочет
183;переговоры проведены руководителем кредитование данный момент не_интересует тендерах постоянно участвуют суммы контрактов небольшие проходят направила почту связи;не отработана. перенесена
184;собственных средств достаточно размещают депозиты;не нужен\не может\не хочет
185;встреча назначена семинар лизингу;встреча
186;клиент нет_проинформирован данный момент нет_потребности кредитовании;пока
187;клиент не_планирует покупку авто берет кредит доверие покупки товара;не нужен\не может\не хочет
188;клиентом проведены переговоры клиент заинтересован кредитовании принимает решение;голов. комп
189;не_планируют покупку авто;не нужен\не может\не хочет
190;не_отработана сроки;не нужен\не может\не хочет
191;клиентом проведены переговоры данном этапе осблуживания клиент не_заинтересован кредитовании;переговоры
192;догов встречу;встреча
193;назначены переговоры предварительный звонок уточнением времени;переговоры
194;имеются собствееные средства;не соответсвует требованиям
195;текущий момент нет_потребности;пока
196;действ кредит настоящий момент нет_потребности;есть кредит
197;данный момент не_нуждаются;пока
199;связанные лица админ города негативно относятся кредит вернуться вопросу позже;надежда есть
200;указанному номеру абонент не_доступен;не ответили
201;действующий кредит доверие планируют досрочно закрыть не_переплачивать банку проценты;не ведет деятельность
202;не_отработана сроки;не нужен\не может\не хочет
203;елена пирогова клиентом обсудили различные варианты кредитования клиент сказал пока не_нужно часто общаемся клиентом понадобится кредит организация обратится;отказ
204;сегодняшний день не_актуально;не нужен\не может\не хочет
205;не_отработана сроки;не нужен\не может\не хочет
206;подумают контакт свой оставил;интересует
207;назначена встреча;встреча
208;потребности кредитовании нет;не нужен\не может\не хочет
209;отказ клиента нет_потребности продукте сказали данный момент кредит не_нужен сказали другим организациям кредитуются поэтому нужен кредит обратяться сами;обратится сам
210;данная стадии ликвидации;ликвидация
211;клиент готов рассмотреть кредитование интерсна ставка также возможна подача заявки лизинг грузоперевозки;отказ
212;клиент имеет действующие кредиты;есть кредит
213;консультация проведена решают вопрос подготовке документов перезвонить;документы
214;клиента данный момент заказ договор заканчивается апреле месяце звонок;пока
215;кредитование не_требуется;отказ
216;кредитование не_актуально;отказ
217;входят группу юниверсал компанию ноябре получен кредит пока больше не_нужно;отказ
218;отказ не_нужны;отказ
219;нет_необходимости;не нужен\не может\не хочет
220;компания не_работает полном объеме планировали закрывать компанию;не ведет деятельность
221;группа компаний юниверсал интересует кредитование;группа компаний
222;переговоры натальей геннадьевной заемные средства не_привлекают решеня принимают москва собственники бизнеса;не нужен\не может\не хочет
223;клиентом проведены переговоры ближайшее время клиент не_заинтересован кредитовании достаточно собственных средств;не нужен\не может\не хочет
224;геннадий николаевич кредитование переадресовал бухгалтера финансовым вопросам бухгалтер сказала нет_спасибо не_раза ответила не_прокомментировала обходимся собственными средствами;не нужен\не может\не хочет
225;проведены переговоры бухгалтером мариной павловной потребность кредитовании назначена встреча;встреча
226;евгений саяфович сказал новый авто купил нашей помощи грабители;не нужен\не может\не хочет
227;данный телефон постоянно занят почту отправила marinamem mail;занято
228;клиент является управляющей компанией основной организации пока не_хотят приобретать новые объкты;не ведет деятельность
229;даннй момент не_нужно;пока
230;клиент закрыл счета негативно относится банку;не лоялен 
231;отсутствует потребность кредитовании;не нужен\не может\не хочет
232;не_планирует кредитоваться ближайшее время;отказ
233;указанный номер телефона не_отвечает течении нескольких дней других номеров внешней базе нет_электронную почту отправлено предложение возобновлении сотрудничества;нет контактов
234;отказ деятельность ведется не_активно кредитование лизинг не_интересны;не ведет деятельность
235;не_устр условия сбербанка;не отработана. перенесена
236;еремеев сергей геннадьевич генеральный директор nadejda nepogodina rdtex непогодина надежда васильевна бухгалтер директора нет_месте перезвонить;мусор
237;не_отвечает калинина мендель не_работают данной организации контактных данных нет;нет контактов
238;клиент ранее не_пользовался кредитами готов рассмотреть предложения совместно бухгалтером назначена встреча;отказ
239;не_отработана сроки;не нужен\не может\не хочет
240;клиенту подходит продукт овердрафт выявлена потребность требуется лимит состоялась встреча обсуждение условий рассчитался лимит не_соответствует минимальной сумме оборота отказался необходим подходит овердрафт;не нужен\не может\не хочет
241;рассмотрит предложение;надежда есть
242;игорь евгеньевич подойдет встречу консультацию;встреча
243;звонок псарюк ирина владимировна данного клиента кредит доверие январе подавали заявку отказ стороны банка;отказ
244;клиент не_против ближе осени;не нужен\не может\не хочет
245;клиента нет_потребности кредитных средствах свои кунсультация продукту банковская гарантия госзаказ;не нужен\не может\не хочет
246;отказ нет_потребности;отказ
247;кредитами не_пользуются;отказ
248;закредитован других банках брал ранее отказ;др банк
249;нет_потребности не_позволя обороты;небольшие обороты
250;нет_потребности кредитовании лизинге работают предоплате;не нужен\не может\не хочет
251;интересует банковская гарантия сумму данный момент участвует тендере выиграет обратится;не нужен\не может\не хочет
252;направлено предложение;не отработана. перенесена
253;кредитами не_пользуются;отказ
254;пока лизинг не_интересует не_пользуются позвонить;звонок
255;не_отработана сроки;не нужен\не может\не хочет
256;абонент сети не_зарегистрирован;не нужен\не может\не хочет
257;инфо почту отправила не_проходимый секретарь;не отработана. перенесена
258;лизинг не_интересует работают транспорта кредитные продукты не_интересны;отказ
259;отказ собственные средства которых хватает;не нужен\не может\не хочет
260;кредит не_нужен;есть кредит
261;проведены переговоры пока нет_необходимости финансировании;переговоры
262;клиента нет_потребности кредитовании возникновении потребности обратится банк;не нужен\не может\не хочет
263;получено согласи встречу обсуждения условий;клиент согласен на
264;предложение лизингу заинтересовало отправлен расчет единицы техники принято положительное решение сделка оформлена долг;сделка
265;не_интересно потребности кредитовании нет;не нужен\не может\не хочет
266;очень сильно закредитована лицо не_спраится кредитной нагрузкой перекредитоваться не_желает;есть кредит
267;сегодняшний день финансирование не_требует лизинг собственные активы перспективу возможно интересно обменялись контактами;не нужен\не может\не хочет
268;отказ нет_необходимости;отказ
269;клиента действ кредит входит группу остатке около новый кредит лимит не_рассчитывается;есть кредит
270;отказ клиента нет_потребности продукте нет_потребности кредитовании интересует кредит;не нужен\не может\не хочет
271;оптовая торговля автозапчастями тендерах участвуют банковскиот кредитования отказ справляются своими силами;оптовая торговля
272;нет_потребности;не нужен\не может\не хочет
273;отказ треб продукт отсут;не нужен\не может\не хочет
274;отказ нет_потребности;отказ
275;заинтересован лизинге;не нужен\не может\не хочет
276;предприятие работает менее года кредитоваться пока не_планируют небольшая выручка кредит платить тяжело;небольшие обороты
277;кредитование не_актуально работают одним заказчиком течение;отказ
278;кредит возможно понадобится позже;надежда есть
279;потребности заемных средствах нет_являентся поручителем кредиту оверие родной сестры юдиной галины михайловны;не нужен\не может\не хочет
280;кредитоваться клиент не_планирует;отказ
281;клиент закрыл счет запросу мониторинга;счет закрыт
282;отказ нет_потребности;отказ
283;разговор состоялся алексадром который пояснил участвует бизнесе отца данный момент не_будут кредитоваться ситуация стране_не_стабильная находится командировке июле контактах номер телефона александра сына;нет контактов
284;указанным контактам не_берут трубку;не разговаривают
285;потребности банк продуктах сегодняшний день нет_возникнет_потребность клиент обратится банк;не нужен\не может\не хочет
286;потребность оборотных средствах определяются залоге;не нужен\не может\не хочет
287;не_отработана сроки;не нужен\не может\не хочет
288;не_планируют кредитоваться;отказ
289;не_пользуются кредитами лизинг диретор не_планирует брать ближайшее время;отказ
290;оквэд клиент находится списке некредитуемых банком оквэдов предложение не_актуально;территориально
291;лизинге потребности нет_потребность кредитовании строительство помещений базе отдыха продцессы затрудняет большое учредителей учредители ведут переговоры поддержке центра поддержки малого предпринимательства повторный звонок кредитованию;сегмент
292;даный момент момента регистрации не_прошло тому потребности данный момент времени нет;пока
293;потребности кредитовании нет_организация обходится собственными средствами;не нужен\не может\не хочет
294;клиента достаточно средств кредиты не_оформляют используют собственные средства учредители против кредитования;не нужен\не может\не хочет
295;отказ нет_потребности не_заинтересован кредитовании;отказ
296;поторный звонок;звонок
297;назначена встреча;встреча
298;достаточно собственных оборотных средств вложение внеоборотные не_планируют страхованию направить предложение;не нужен\не может\не хочет
299;компнаия не_учавствует тнедерах;не нужен\не может\не хочет
300;некредитуемый деятельности реклама;не ведет деятельность
301;недозвон течении перезвоню завтра;не ответили
302;не_отработана сроки;не нужен\не может\не хочет
303;нет_потребности кредитных средствах повторный звонок;звонок
304;связи территриальными особенностями навигация автотранспортам начинатеся клиент не_заинтересован;нет контактов
305;организация стадии ликвидации;ликвидация
306;не_отработана сроки;не нужен\не может\не хочет
307;пообщадась сообщила необходимости нет_заменили ноябре прошлого года покупали наличные;не нужен\не может\не хочет
308;отказ клиента нет_потребности продукте данный момент кредитование не_интересует;отказ
