;Unnamed: 0;TEXT;class
34;36;клиентом имеется договоренность встрече готовы принять ранее не_могут встретиться обсуждаем корп карту лизинг самоинкас продукты привлечения;надежда есть
35;37;назначена встреча собственником евгений геннадьевич сейчас планируют работы более точно ситуация понятна концу месяца;встреча
36;38;назначена встреча;встреча
37;39;банк встреча место банк информация бизнесе услуги охраны обеспечение безопасности работают организациями договору директор сергей юрьевич результат кредитование экспресс овердрафт банковская гарантия данное время ближайшее не_интересуют данном этапе не_планируют течении будут иметь ввиду эквайринг не_нужен деят лизинг не_интересует план действий есди потребность кредитовании обратятся расширение ближ время не_планируют дата след встречи нет_продуктов;безналичный
38;40;дата встречи назначена;встреча
39;41;клиента интересует финансирование проекта;не нужен\не может\не хочет
40;42;ранее встреча состоялась подписан зарплатный проект сотрудников овердрафт рассчитан предложен данный момент потребности нет_денежных средств достаточно также бухгалтеру направлено размещению депозитов;не нужен\не может\не хочет
41;43;данный момент меняется учредитель клиент занят оформлением документов договорились созвониться следующем месяце;документы
42;44;встреча;встреча
43;45;звонку предварительному;не соответсвует требованиям
44;46;неоднократно проводились переговоры зарплатному проекту получен категорический отказ клиента не_рассматривает кредитоваться не_планирует бизнесе достаточно собственных средств;отказ категорический
45;47;назначена встреча кредитование инвестиционное;встреча
46;48;договорились встречу завтра;встреча
47;49;встреча предварительно звонок;встреча
48;50;клиенту нет_года потребности кредитах нет_иные продукты не_интересуют страховка наша текущая имеется;не нужен\не может\не хочет
49;51;клиентом назначена встреча;встреча
50;53;клиент вносит денежные средства автосейф раза месяц суммы одну операцию;не нужен\не может\не хочет
51;54;назначена встреча конца недели;встреча
52;55;эквайринг не_актуален клиент занимается грузоперевозками назначен повторный звонок обсуждения вопроса лизинга клиент готов встретиться после;звонок
53;57;встреча место клиент информация бизнесе строительство жилых нежилых зданий результат возможно беззалоговое кредитование депозит факторинг план действий перезвонить клиенту;безналичный
54;58;ксения помощник руководителя генеральный директор иностранец не_говорит русски контактный телефон основной деятельности оптовая торговля выручка компании спарк выручка компании слов клиента каких банках обслуживается сбербанк какими продуктами пользуется основные условия предложенные продукты банка депозиты предложение лизинга предложение факторинга комментарий клиента планируют оформление продуктов необходимо ознгакомится продуктами совещание обсудят услуги;клиент согласен на
55;59;клиенты встречи отказались пока потребности нет_попросили позвонить не_раньше звонок;звонок
56;60;встреча территории клиента;встреча
57;61;федосов станислав евгеньевич оптовая торговля выручка спарк слов компании каких банках обсл сбербанк какими продуктами пользуется основные условия сббол лизинг нет_факторинг нет_предложенные продукты банка кредит коммен коммерческий заказчик необходим залог клиенту не_удобно финансированию работает сотрудником сбербанка москвы зеленоградом не_работает сотрудника ведет переговоры не_назвал;др банк
58;62;борисов степан петрович контактный телефон основной деятельности научные исследования выручка компани спарк выручка компании слов клиента каких банках обслуживается сбербанк какими продуктами пользуется основные условия сббол предложение лизинга данный момент не_требуется предложение факторинга крупными сетями не_работает комментарии клиента клиент сейчас очень занят не_видит смысла встрече возможно менее загружен после просил набрать ориентирово;безналичный
59;63;встреча;встреча
60;64;разговаривала бухом нужен тендерный кредит собирают пакет документов;документы
61;65;алексей алекснадрович соединили бросил трубку сказал занят звонки позже нет_месте эквайринг не_подходит виду деятельности компания принимает участие тендерах поступлений займы другого лица;не ведет деятельность
62;66;клиента закончился депозит отзываемый сумму пока клиент не_принял решения повторном размещение не_устроили ставки предложен классический не_устраивают условия части лизинга клиент пояснил наст момент обходятся собств вами данный продукт не_требуется условия интересные;пока
63;67;назначена встреча;встреча
64;68;назначена встреча числа;встреча
65;69;прошляков тимофей игоревич директор встречи отказался сказал находятся территории лукойла выписать туда пропуск нет_полномочий банке не_бывают вообще смысла встрече не_видят вопрос зарплатного проекта не_рассматривают всего человека не_смущает комиссия попросил выслать сообщение контактный телефон можно связаться возникнут вопросы;отказ
66;70;иванов дмитрий геннадьевич разработка оборотное кредитование не_интересно справляются собственными средствами экспресс овердрафт клиенту данный продукт не_интересует продукты привлечения средств депозиты размещать не_будут деньги идут текущую деятельность необходимые продукты банка клиент отказался встречи сейчас нет_потребности продуктах попросил позвонить позже;не нужен\не может\не хочет
67;71;экспресс овердрафт не_рассчитывается эквайринг корпоративная карта;др продукт сб
68;72;назначена встреча клиентом кредитным продуктам неделю;встреча
69;74;седыкин олег олегович генеральный директор мария строительство жилых нежилых зданий назначена встреча;встреча
70;75;савкина наталия алексеевнаконтактный телефон основной деятельности производство общестроительных работ возведению зданийвыручка компании спарк выручка компании слов клиента каких банках обслуживается предложение факторинга сетями не_работают отказ предложенные продукты банка кредит не_интересен;др банк
71;76;указанному номеру телефона отвечает девушка не_имеющая отношения компании почту отправлены контакты просьбой перезвонить;нет контактов
72;77;звонки директора владимира юрьевича не_месте разговор состоялся юристом записали контактный телефон должен перезвонить подъехать встречу назначен повторный звонок;звонок
73;78;ответили директор строительном объекте встрече говорить вероятно завтра звонить утром занимаются строительными работами госконтрактах не_упоминаются прибыль положительны более возможно предложить краткосрочное размещение;род деятельности
74;79;информация бизнесе розн матер изготовл обуви алькор головная результат отправлено коробке карт бланш кредит не_интересно карты план действий повторн встреча интерес страхования условии понижения тарифа;не отработана. перенесена
75;80;назначена встреча;встреча
76;81;переговоры назначены;переговоры
77;82;клиент озвучил не_нуждается заемных средствах;отказ
78;83;никишов виктор васильевич научные работы предложено кредитование лизинг депозиты клиент заинтересовался размещением депозит назначена встреча;встреча
79;84;кредитовании потребности настоящий момент нет_занимаются производством медец товаров реализацией интернет_магазин подключен интернет_эквайринг розницы нет_страхование не_интересно недавно открывали счет;не нужен\не может\не хочет
80;85;страхование договору залога;др продукт сб
81;86;нет_потребности кредитование;отказ
82;87;назначена встреча обсуждение условий продуктам;встреча
83;88;назначена встреча клиентом обсуждения кредитного продукта;встреча
84;89;назначена встреча банке главным бухгалтером организации;встреча
85;90;банке;др банк
87;92;назначена встреча;встреча
88;93;яценко евгений петрович контактный телефон бухгалтерия елена основной дейтельности сбор обработка сточных выручка компании спарк выручка компании слов клиента каких банках обслуживается сбер какими продуктами пользуется основные условия предложенные продукты банка овер не_рассчитался предложение лизинга пока не_планируют предложение факторинга не_комментарий клиента москва мосфильмовская корп комментарий звонка;др продукт сб
89;94;пока никаких потребностей организации нет_связано пока нет_заключенных контрактов партнерами возможно организация закрыта;не ведет деятельность
90;95;карельская юлия александровна телефон деятельности производство выручка продукты клиента сббол invoicing предложил корп карта кредит комментарий клиент принципиально не_пользуется кредитами получении смарт кредиту сразу удалил корп карта не_актуален снимает чеку отсутствие желание переходить карточные продукты связанно клиент не_доверяет точки безопасности;др продукт сб
91;96;клиент не_кредитуется принципе кредитование не_интересует;отказ
92;97;встреча назначена часов отделении банка обсуждение условий продуктовой линейке банка;встреча
93;98;иванушкин андрей петрович генеральный директор контактный телефон основной выручка компании слов клиента каких банках обслуживается сбрф какими продуктами пользуется основные условия предложение лизинга не_интересно клиенту не_планировал покупку личных целях целях бизнеса предложение факторинга не_интересно клиенту предложенные продукты банка овердрафт эквайринг комментарии клиента клиент хотел установить терминал эквайринга также хотел получить информацию;др продукт сб
94;99;клиентом общались потребности финансировании нет_никогда не_также отрабатывался вопрос переразмещения депозита отказ переразмещения клиент оплатил товар;не нужен\не может\не хочет
95;100;кредитование инвестиционное оборотное овердрафтное нет_привлечение не_требуется лизинг нет_эвотор нет_действующее оборудование доработали;др продукт сб
96;101;встреча клиент;встреча
97;102;клиент не_заинтересован;отказ
98;103;клиента отрицательная отчетность кредиты можем предложить вексель организации озвучил бухгалтер должна сообщить примерно результат году будем работать момента предоставления новой отчетности;отказ
99;104;назначена встреча;встреча
100;105;рассказала выездной встрече линейку продуктов актуальную обсудили возможные варианты размещения средств депозит кредитование назначен звонок решения;звонок
101;106;уточнить встречи;встреча
103;108;звонок директору завтра подойдет консультацию кредиту;звонок
104;109;клиент находится критичном положении отсутствуют действующие контракты нет_работы сотрудников находятся содержания;нет контактов
105;110;консультации продуктам;нет контактов
106;111;назначена встреча;встреча
107;112;работают кредитоваться не_планируют достаточно собственных средств лизинг не_нужен остатки счете сейчас небольшие идет закуп товара депозит не_нужен работают новые пока не_планируются открытию пользуются нет_продуктов банках конкурентах;не нужен\не может\не хочет
109;114;согласована сделка переданы документы подписания;сделка
110;115;клиент попросил перезвонить согласования даты проведение переговоров;клиент согласен на
111;116;клиенту денежные средства понадобятся ближайшее время случае возникновения потребности клиент обратится банк;не нужен\не может\не хочет
112;118;недозвон контакты некорректны телефон отключен протяжении нескольких дней;не ответили
113;119;клиентом прошла встреча эквайринг обдумывают терминал поломался не_установили кредитовании не_нуждаются пока обсуждали возможности размещения депозитов;встреча
114;120;назначена встреча;встреча
115;121;клиент застрахован корпоративная карта клиенту выпущена декабре;др продукт сб
116;122;выдали январе;есть кредит
117;123;обсудить готов кредитование корп карту;отказ
118;124;клиент ролцессе перевода;др банк
119;125;нет_потребности кредитных продуктах сказать не;не нужен\не может\не хочет
120;126;экспресс овердрафт клиенту не_просчитывается клиента собственника директора дозвониться невозможно секретарь говорит командировке;отказ
121;127;назначена встреча;встреча
122;128;назначена встреча организация входит винсет;встреча
123;129;категорически не_интересует кредит разговаривала главным бухгалтером;не разговаривают
124;130;обратится необходимости;не нужен\не может\не хочет
125;131;экспресс овердрафта получен отказ зарплатный проект ранее прорабатывался получен отказ принципиальная позиция руководства не_видит преимуществ средства размещать не_планирует ввиду необходимости обороте клиент активно исполняет назначена повторная встреча открытия счета;отказ
126;132;назначена встреча территорий клиента;встреча
127;133;клиент имеет лишь проект другим продуктам категорический отказ;отказ категорический
128;134;деятельности оказание услуг установлению пожарной сигнализации потребности заемных средствах нет;не нужен\не может\не хочет
129;135;клиента нет_счета эквайринг сообщила клиенту возможность кредитования программе фрдв отказ осенью обратился снизили ставку не_верит возможность кредитования низкие ставки;отказ
130;136;встреча назначена;встреча
131;137;использование услуг банка совершения сомнительных операций обналичивание;не соответсвует требованиям
132;138;клиент территориально находится москве клиента открыт расчетный счет месту открытия счета находится директор который не_принимает решения;территориально
133;139;результат встречи кредитование ближайшие года не_интересует долговая нагрузка близка максимальной овердрафт посчитался сумму потребности кредитных средствах пока нет_не_предвидется страхование оформлено не_давно повторном страховании другом страховом продукте потребности нет_денег катастрофически не_хватает всем экономят;не нужен\не может\не хочет
134;140;назначена встреча банке;встреча
135;141;клиент кредитных средствах не_нуждается рассказано продуктах переданы материалы;не нужен\не может\не хочет
136;143;проведена встреча клиентом интересно кредитование интересно рефинансирование нужно анализировать проводить встречу;встреча
137;144;требования овердрафту клиент не_соответствует количеству контрагентов;не нужен\не может\не хочет
138;145;встреча место курчатова информация бизнесе клиент предоставляет услуги учебного центра повышение квалификации услугами пользуются крупные предприятия города участвуют часто торгах не_пользуются суммы контрактов маленькие обеспечивают сами клиент не_кредитуется здание офиса собственности штате перечисляют отдельными комиссии связная компания цпкс занимается встреча проходила сыном директора не_принимает решение директор длительном больничном план действи;встреча
139;147;счет нашем банке закрыт декабре запросу службы комплаенс согласно;клиент согласен на
140;148;позвонить встретится неделе;звонок
141;149;данный момент не_устраивают ставки;дорогие тарифы
142;150;головная организация москве филиал потребности нет_оформляется централизованно филиал решений не_принимает;территориально
143;151;встреча;встреча
144;152;клиентом проведены переговоры банковским гарантиям государственных контрактах не_участвуют потребности нет_зарплатный проект штат небольшой зарплату выплачивают выручки которая формируется наличными дополнительные расходы нести руководитель не_хочет страхование пользуется коробочным страхованием оформлено сентябре заключение дополнительных страховых продуктов категорический отказ;отказ категорический
145;153;звонок клиенту карта группе клиент;звонок
146;154;клиент приостановил деятельность счету конца года не_работает никакие банковские услуги не_требуются кредиты не_интересуют счета не_снимает встречи отказ банковских услугах нет_необходимости счет пока закрывать не_планирует;не ведет деятельность
147;155;назначена встреча обсуждения расширения сотрудничества;встреча
148;156;назначена встреча офисе банка;встреча
149;157;сумма не_рассчиталась катигорический отказ;отказ
150;158;клиент просил перезвонить;звонок
151;159;клиент набирает штат сотрудников обсуждению вопроса зарплатному проекту вернется позже;надежда есть
152;160;встреча месте ведения деятельности клиента;не ведет деятельность
153;161;назначена встреча клиентом кредитным продуктам неделю;встреча
154;162;деятельность зимний практически не_ведется сокращение штата вследствие предложенные продукты неактуальны клиент рассматривает варианты закрытия организации текущем году;не ведет деятельность
155;163;предложение клиенту лизинга техники размещение средств клиент лизинга отказался действующие договора денежные средства счете не_хранятся сразу перечисляются контрагенту;отказ
156;164;клиенту интересно залоговое кредитование;отказ
157;165;назначена встреча после предварительно связаться понедельник обговорить время встречи сейчас вносятся изменения бизнесе поэтому сразу не_подъехать гудкова татьяна владимировна;встреча
158;166;клиент входит группу свстрой не_рассчитывается отказ картотеки не_оплаченные счета новую технологию переходить пока не_будут комиссия изменится получено согласие;клиент согласен на
159;167;назначена встреча;встреча
160;168;ермаков егор аликович занимаются розничной торговлей выручка согласно спарк страхование клиента не_интересует застрахованы ближайший окончанию срока действия полиса готовы рассмотреть вопрос страхования кредит не_интересует клиент обходиться собственными средствами зарплатный проект данный момент не_актуален штат сотрудников находиться регионе_зарп состоит продаж фактически москве штата нет_клиент готов обратиться банк москве набран штат сотрудников;клиент согласен на
161;169;назначена встреча;встреча
162;170;страхование клиента лизинг инвестиционное кредитование не_нтересно клиентом прорабатывается продукт бизнес оборот расширения бизнеса клиент поиске залога;небольшие обороты
163;171;бочарова анастасия геннадьевна генеральный директор переработка консервирование рыбы ракообразных моллюсков клиент согласие встречу;клиент согласен на
164;172;челпаченко николай петрович деятельности аренда управление собственным арендованным нежилым недвижимым имуществом арбитражи истец госзаказы нет_разговаривала потребности кредитовании нет_предложила экспресс ипотеку пока не_задумывался лизинг нет;не нужен\не может\не хочет
165;173;назначена встреча клиентом;встреча
166;174;клиент размещает депозиты интересен интернет;не нужен\не может\не хочет
167;175;недавно нужно гарантия аванса отказались нужен залог сейчас текущих потребностей нет_будущем возможно интересен контракт овер;не нужен\не может\не хочет
168;176;звонок руководителю костанди анатолий георгиевич назначена встреча выявлению потребности продуктах банка;встреча
169;177;отправлена заявку корпоративную карту подписан зарплатный договор кредитования избегают;др продукт сб
170;178;пока встреча не_назначена клиента не_интересует наших продуктов кредитование клиента не_доступно виду деятельности области науки не_кредитуем пока тендеров которые подошла нет_средний оборот месяц;пока
171;179;встреча банке;встреча
172;180;отработка;выполнено
173;181;не_актуален кредит отказ;отказ
174;182;руководитель готов встречу апреле месяце пояснил пока не_видит смысла контакты получил необходимость обязательно позвонит договорились подтвердить встречу конце;встреча
175;183;разговаривала директора александр_ивановичем курсе всех кредитовании нет_потребности справляются собственными силами приобретать не_планируют возможен интересен лизинг не_сейчас проект заключен экспресс овер не_можем бизнес счет клиента потребности нет;не нужен\не может\не хочет
176;184;входит группу компаний снгк сервис агинбаев работают;не ведет деятельность
177;185;клиентом назначена встреча сегодня месте ведения бизнеса клиента;встреча
178;186;звонок руководителю живайкину александру сергеевичу назначена встреча;встреча
179;187;актуализация контактных данных;нет контактов
180;188;клиента стороны центра комплаенс потребности кредитовании нет_возможно ближайшее время понадобиться оборотные средства;не нужен\не может\не хочет
181;189;назначена встреча клиентом;встреча
183;191;пользуются кредитной линией контракты др_банке требование кредиту сбербанке пользуются;нет контактов
184;192;предворительно позвонить вторник первой половине;звонок
185;193;проведены переговоры александром сергеевичем назначена встреча;встреча
186;194;пока не_нужно возникнет_необходимость обратятся;не нужен\не может\не хочет
187;195;клиент не_планирует кредитование ведения бизнеса достаточно собственных средств;отказ
188;196;клиент не_соответствует ребованиям банка учредителю органичения экспресс продуктам;нет контактов
189;197;осуществлен звонок клиенту клиент предоставил заявление льготное кредитование вопросу клиент принимает решение перезвонит;отказ
190;198;состоялись телефонные переговоры пиреев иван иванович генеральный директор вопросам лизинга корпоративным картам invoicing клиент согласился встречу приблизительно пиреев иван иванович сообщил ранее велись переговоры колченко алесандром установке терминалом магазине_бронница березки новгород грумм хочет установить терминалы оплаты знакомство клиентом;клиент согласен на
